,transcript,user_action
569,could you increase the light brightness in the dining room,IncreaseBrightness
570,just the light its less bright,DecreaseBrightness
571,could you make the lights in the basement brighter,IncreaseBrightness
572,could you please turn my lights on,SwitchLightOn
573,could you please turn the light on I'm some,SwitchLightOn
574,could you switch on some lights,SwitchLightOn
575,could you turn down the bedroom lights,DecreaseBrightness
576,could you turn the lights on please,SwitchLightOn
577,but of lowered with garden light,SwitchLightOff
578,cut the waiting room light,SwitchLightOff
579,dark in the waiting room,SwitchLightOff
580,decrease brightness,DecreaseBrightness
581,adjust lights to the setting,SwitchLightOff
582,the shed brightness in after room,DecreaseBrightness
583,decreased brightness in boardroom by one third.,DecreaseBrightness
584,decrease brightness please,DecreaseBrightness
585,the tree light brighness in little,DecreaseBrightness
586,decrease light brightness please,DecreaseBrightness
587,create lights in house,DecreaseBrightness
588,decreased the brightness,DecreaseBrightness
589,decreased the brightness of the bulbs,DecreaseBrightness
590,increased the brightness of lights can shed,DecreaseBrightness
591,adjust living room brightness to level too,SetLightBrightness
592,decrease the brightness please,DecreaseBrightness
593,decrease the intensity of the lights,DecreaseBrightness
594,decreased the intensity of the lights in the kids bedroom,DecreaseBrightness
595,decreased the intensity of the pantry waiting,DecreaseBrightness
596,decrease the light brightness in the cubicle,DecreaseBrightness
597,decreased light intensity,DecreaseBrightness
598,decreased light intensity in the entrance,DecreaseBrightness
599,decreased the light intensity in the entrance to zero,SwitchLightOff
600,decreased the light intensity in the office,DecreaseBrightness
601,decrease the light intensity in the vestibule to zero,SwitchLightOff
602,just pink you like to blue,SetLightColor
603,decrease the light intensity to zero,SwitchLightOff
604,decrease the lighting in the laundry room,DecreaseBrightness
605,decrease the lighting so it's not so bright,DecreaseBrightness
606,decrease the light's intensity in my bedroom balcony,DecreaseBrightness
607,dim lights please,DecreaseBrightness
608,can lights please,DecreaseBrightness
609,dim bathroom,DecreaseBrightness
610,dim the light in the it's bedroom,DecreaseBrightness
611,them the lighting completely in the waiting room,SwitchLightOff
612,dim the lights,DecreaseBrightness
613,i'd just the pantry lighting level thirty nine,SetLightBrightness
614,dim the lights completely in the living room,SwitchLightOff
615,dim the lights for me,DecreaseBrightness
616,dim the lights in the backyard,DecreaseBrightness
617,dim the lights in the bathroom,DecreaseBrightness
618,dim lights in the get,DecreaseBrightness
619,dim the lights in the living room,DecreaseBrightness
620,the the light's Place,DecreaseBrightness
621,can the lights please,DecreaseBrightness
622,dimmer,DecreaseBrightness
623,dim the studio lighting,DecreaseBrightness
624,adjust toilet lighting to the two setting,SetLightBrightness
625,do me here and sun the flat on,SwitchLightOn
626,do turn out on my bedroom light now,SwitchLightOn
627,don't forget to turn off the lights in the studio,SwitchLightOff
628,level light entrance from shining,SwitchLightOff
629,Eliminate the lighting,SwitchLightOff
630,and the lights from shining in the cubicle,SwitchLightOff
631,and sure the lights are off in the waiting room,SwitchLightOff
632,Find the bulbs for the cellar and turn them up,IncreaseBrightness
633,get me more light,IncreaseBrightness
634,get me some lights in the ten,SwitchLightOn
635,get the inside to at made do,SetLightBrightness
636,get rid of the lights in the bathroom,SwitchLightOff
637,get the cellar lights on,SwitchLightOn
638,get the lounge room lights up twenty two,SetLightBrightness
639,get the lights on,SwitchLightOn
640,get the lights on please,SwitchLightOn
641,Make the living room Situate on please,SwitchLightOn
642,get the room brighter please,IncreaseBrightness
643,give me more light can here,IncreaseBrightness
644,give me more flat in the bedroom,IncreaseBrightness
645,give me pink lights,SetLightColor
646,have just the toilets lights to twenty,SetLightBrightness
647,go ahead turn the tad meeting mood light the pink,SetLightColor
648,go ahead and turn the laundry room lights up brighter,IncreaseBrightness
649,go straight and turn on the lights,SwitchLightOn
650,go please shut off the lights,SwitchLightOff
651,"google, shut off lights",SwitchLightOff
652,have the kitchen five at lower brightness,DecreaseBrightness
653,over the lights colored blue,SetLightColor
654,have the lights turn blue,SetLightColor
655,help me change the color blue,SetLightColor
656,help me decrease the brightness in backyard there,DecreaseBrightness
657,activate lights,SwitchLightOn
658,level please turn off lights in backyard,SwitchLightOff
659,help me them the light in the pantry,DecreaseBrightness
660,help me in the lights,DecreaseBrightness
661,help me dim the lights Place,DecreaseBrightness
662,help me make it so light is not so bright,DecreaseBrightness
663,help me make the entire appartment area,SetLightColor
664,help me make the entire house pink,SetLightColor
665,help me make the light brighter,IncreaseBrightness
666,help me make the light green,SetLightColor
667,help me make the light red,SetLightColor
668,help me put on the lights,SwitchLightOn
669,are you able to change the lights to turn to green,SetLightColor
670,help me rid the bright to two,SetLightBrightness
671,house me set the entrance flat to two,SetLightBrightness
672,help me set the lights to fifty,SetLightBrightness
673,help me set the lights to twenty,SetLightBrightness
674,help me turn on the light please,SwitchLightOn
675,help me turn the flat on,SwitchLightOn
676,the cut the lights in the kitchen,SwitchLightOff
677,less get the light brightness lower here,DecreaseBrightness
678,don't prefer the living room lights to be on anymore,SwitchLightOff
679,don't want it to be so have,DecreaseBrightness
680,"Assistant, need my cubicle lights on",SwitchLightOn
681,don't want it to be this Make,DecreaseBrightness
682,don't want backyard yard lights to be on,SwitchLightOff
683,don't want the bedroom to be so bright,DecreaseBrightness
684,don't want the lights on any more,SwitchLightOff
685,don't want to lights in cella any more,SwitchLightOff
686,don't want the lights on,SwitchLightOff
687,don't want the lights to shine in the living room,SwitchLightOff
688,don't want there to be any light on in the office,SwitchLightOff
689,don't want there to be lights on any more,SwitchLightOff
690,need brightness setting of twelve in the can tree,SetLightBrightness
691,"Assistant, turned my lights on",SwitchLightOn
692,need brighter lighting in the bedroom,IncreaseBrightness
693,need it to be brighter and the cubicle,IncreaseBrightness
694,any waiting,SwitchLightOn
695,need lighting in the kitchen,SwitchLightOn
696,need light on over the toilets,SwitchLightOn
697,need more light,IncreaseBrightness
698,rid more light here,IncreaseBrightness
699,need my bedroom brighter now,IncreaseBrightness
700,need my bedroom lighter lower,DecreaseBrightness
701,need my pantry set at ten brightness,SetLightBrightness
702,want the brightness of lights,IncreaseBrightness
703,need lighting in the office,SetLightColor
704,need some light play,SwitchLightOn
705,made some light play in the kitchen,SwitchLightOn
706,and need some five,SwitchLightOn
707,need some lights in the kitchen,SwitchLightOn
708,need some more lights in here,IncreaseBrightness
709,need the cella balcony like turned off,SwitchLightOff
710,made the light,SwitchLightOn
711,need the light in the kitchen,SwitchLightOn
712,there like to be brighter,IncreaseBrightness
713,laundry want the brightness of the waiting room,IncreaseBrightness
714,need the like to be increased,IncreaseBrightness
715,need the lighting cranked up little,IncreaseBrightness
716,need the light Lessen like to if that room to be set at and meeting,SetLightBrightness
717,need the lights in the kids room to be pink,SetLightColor
718,one the flat near the facilities to be create,IncreaseBrightness
719,need the lights off in the changing room,SwitchLightOff
720,need the so in the entrance,SwitchLightOff
721,need lights to be blue now,SetLightColor
722,need the lights to be blue,SetLightColor
723,the lights to be brighter,IncreaseBrightness
724,but sure that all little living is off,SwitchLightOff
725,need lights to be dimmed,DecreaseBrightness
726,need the lights turn down bed,DecreaseBrightness
727,need the lights turned off in the vestibule,SwitchLightOff
728,the room to be blue,SetLightColor
729,need this Set to have the lighting more fifty,SetLightBrightness
730,need two lamps all off no,SwitchLightOff
731,stop the lights to be on,SwitchLightOff
732,can you raise the lights in the toilets,IncreaseBrightness
733,stop the lights,SwitchLightOff
734,switch all the lights to the off position in the vestibule,SwitchLightOff
735,switch flat double,SetLightColor
736,switch my lights on now,SwitchLightOn
737,switch all exterior lighting,SwitchLightOff
738,switch of small meeting room light,SwitchLightOff
739,switch of the garage light,SwitchLightOff
740,switch off the lights,SwitchLightOff
741,switch off the lights after level for the area,SwitchLightOff
742,switch off the shed lights,SwitchLightOff
743,can you set pink right in the basement,SetLightColor
744,switch on my backyard yard lighting,SwitchLightOn
745,switch on my cubicle light please,SwitchLightOn
746,switch on my garden lights,SwitchLightOn
747,switch the lights in the kids bedroom,SwitchLightOn
748,switch on the lights,SwitchLightOn
749,switch on the studio flat,SwitchLightOn
750,meeting the light to green,SetLightColor
751,switched the light green,SetLightColor
752,switched the lights the blue in the bedroom,SetLightColor
753,switch the lights to dark in the pantry,SwitchLightOff
754,can you red the basement lights to five,SetLightBrightness
755,shed the lit light to red,SetLightColor
756,switch to red lights,SetLightColor
757,turn on the lights of kids bedroom,SwitchLightOn
758,the basement is too bright,DecreaseBrightness
759,basement lights must be switched on,SwitchLightOn
760,the bedroom light are too bright but with the brightness,DecreaseBrightness
761,the bedroom lights need of brighter illumination,IncreaseBrightness
762,the bedroom lights need to be brighter right now,IncreaseBrightness
763,the brightness and the studio should be twenty two,SetLightBrightness
764,need do lamps all off now please,SwitchLightOff
765,need you to increase the intensity of the backyard light,IncreaseBrightness
766,need you to turn the lights off in the basement,SwitchLightOff
767,prefer it the lights are on now,SwitchLightOn
768,be sure the light intensity is set to two percent percent,SetLightBrightness
769,should like to see red lights,SetLightColor
770,think all the light should be on twenty two,SetLightBrightness
771,think the light should be on by now,SwitchLightOn
772,think the light should be pink,SetLightColor
773,want blue light,SetLightColor
774,want its,SetLightColor
775,want green light,SetLightColor
776,on at less brightened,DecreaseBrightness
777,want it pink in here,SetLightColor
778,want to be brighter in the cella,IncreaseBrightness
779,be sure the lights are completely darkened by the toilet,SwitchLightOff
780,want less brightness,DecreaseBrightness
781,want let lit,DecreaseBrightness
782,want less light in the waiting room,DecreaseBrightness
783,don't level twelve to be the setting for the brightness,SetLightBrightness
784,want lighting in the bedroom,SwitchLightOn
785,want lights,SwitchLightOn
786,want lights in the kitchen,SwitchLightOn
787,want if on in the backyard yard,SwitchLightOn
788,want lights on Place,SwitchLightOn
789,want living room lights to be changed to pink,SetLightColor
790,more ten like more off by the toilet,SwitchLightOff
791,want more brightness in the changing room,IncreaseBrightness
792,what more brightness that to pantry,IncreaseBrightness
793,want more light,IncreaseBrightness
794,don't more light in the bathroom,IncreaseBrightness
795,want my child's bedroom to have green like,SetLightColor
796,want my cubicle lights to be two,SetLightBrightness
797,want pink lights now,SetLightColor
798,want area lighting,SetLightColor
799,Will want red lights please,SetLightColor
800,want bathroom to be more in,DecreaseBrightness
801,trip made lights in the waiting room,SwitchLightOn
802,us ten brightness the lights,IncreaseBrightness
803,want the brightest lights in the kitchen Place,IncreaseBrightness
804,want the brightness of the lights in the laundry room to be fifty,SetLightBrightness
805,want the brightness rid to too,SetLightBrightness
806,and bright stop be fifty be room,SetLightBrightness
807,want the brightness to be level the on my light,SetLightBrightness
808,want the brightness to be set at twenty,SetLightBrightness
809,want to area this turn up in this room,IncreaseBrightness
810,want to cella here flat on,SwitchLightOn
811,want the cellar flat off,SwitchLightOff
812,bright lights entrance,IncreaseBrightness
813,want to cella here lights on,SwitchLightOn
814,want the cubicle lights to be at twenty two percent percent,SetLightBrightness
815,want the cubicle to be brighter,IncreaseBrightness
816,twenty to cubicle to be at thirty nine brightness,SetLightBrightness
817,want the dining room lights to be turned on,SwitchLightOn
818,twenty the entire appartment to be at too brightness,SetLightBrightness
819,on the entrance rid on,SwitchLightOn
820,want facilities to have lights on now,SwitchLightOn
821,want the lights to be pink,SetLightColor
822,want the kids bedroom to be set to level fifty,SetLightBrightness
823,bright in the large meeting room please,IncreaseBrightness
824,want the kids like to be pink,SetLightColor
825,want the kitchen lights to be twenty two,SetLightBrightness
826,want to light bulbs to be at level thirty nine,SetLightBrightness
827,want the light color changed to red,SetLightColor
828,want lighter in the garden turned on,SwitchLightOn
829,want the lights and the lounge to turn on,SwitchLightOn
830,want the light intensity to be at level ten,SetLightBrightness
831,want the light intensity turned up in the bedroom,IncreaseBrightness
832,want the light set to ten everywhere,SetLightBrightness
833,want light to be on,SwitchLightOn
834,brighten the lights,IncreaseBrightness
835,want the lighting increased,IncreaseBrightness
836,want the lighting situated at twenty two in the dining room,SetLightBrightness
837,want the tad rid Add,SetLightBrightness
838,want the lights decreased please,DecreaseBrightness
839,am are the five dim,DecreaseBrightness
840,turned the five in the out to pink,SetLightColor
841,want the lights in the bedroom on,SwitchLightOn
842,want the lights in the bedroom set to five,SetLightBrightness
843,want the lights in the laundry room to change to red,SetLightColor
844,want the lights in the pantry to be pink,SetLightColor
845,bright in the lights in the waiting room,IncreaseBrightness
846,on the lights near toilets to be pink,SetLightColor
847,and what ten lights off,SwitchLightOff
848,want the lights off everywhere,SwitchLightOff
849,twenty the light off in the meeting room,SwitchLightOff
850,one lights on,SwitchLightOn
851,want the lights on at the two waiting,SwitchLightOn
852,want to like brighness for the entire lot please,SwitchLightOn
853,want the lights on now,SwitchLightOn
854,want the light set two fifty in the kids room,SetLightBrightness
855,i'd on the lights to be at level twenty two,SetLightBrightness
856,brighten up the cubicle,IncreaseBrightness
857,want the lights to be blue in the bathroom,SetLightColor
858,want the lights to be brighter,IncreaseBrightness
859,want the lights to be changed to blue,SetLightColor
860,and want the lights to be dimmed,DecreaseBrightness
861,want the lights to be increased in brightness,IncreaseBrightness
862,want the lights to be increased,IncreaseBrightness
863,Will want the lights to be lowered,DecreaseBrightness
864,want the lights to be area please,SetLightColor
865,want the lights to be turned off,SwitchLightOff
866,want lights to be turned off in the vestibule,SwitchLightOff
867,garage,IncreaseBrightness
868,want the light turn down in the bedroom,DecreaseBrightness
869,want the lounge light on,SwitchLightOn
870,want the parking lights off,SwitchLightOff
871,twenty ten like turned on,SwitchLightOn
872,want the pretty room light off,SwitchLightOff
873,want the room brighter,IncreaseBrightness
874,want this studio to be dark,SwitchLightOff
875,what the toilet lights off,SwitchLightOff
876,want the all lights to be at twelve,SetLightBrightness
877,want the toilet lights to be on,SwitchLightOn
878,darkness is to percent in create down Place,SetLightBrightness
879,want be twenty will it Lessen level to power,SetLightBrightness
880,want the vestibule to shine at twelve percent percent,SetLightBrightness
881,want the waiting room lights at ten,SetLightBrightness
882,want this room at brightness level ten,SetLightBrightness
883,want to brighten the laundry room,IncreaseBrightness
884,want to change boardroom brightness to ten please,SetLightBrightness
885,want to change the light green,SetLightColor
886,want to change the light to blue instead.,SetLightColor
887,want two lights to lower setting please,DecreaseBrightness
888,want to glow here my appartment lights please,DecreaseBrightness
889,brightness house is decrease Help,SetLightBrightness
890,want to make the light dimmer,DecreaseBrightness
891,want to make the room brighter,IncreaseBrightness
892,one to rid the play two ten,SetLightBrightness
893,want to turn off the lights,SwitchLightOff
894,want to turn off the patio lamps,SwitchLightOff
895,want to change the brightness level in the patio to ten,SetLightBrightness
896,want you to switch off all the lights and my cubicle,SwitchLightOff
897,want you to turn off the lights in the small meeting room,SwitchLightOff
898,want you to turn the lights off in my room please,SwitchLightOff
899,brightness to seventy-three tree please,SetLightBrightness
900,it would like for the light to be brighter,IncreaseBrightness
901,would like for the lights to be,SetLightColor
902,would like green lights please,SetLightColor
903,would like lights on inside the house,SwitchLightOn
904,would like pink lights please,SetLightColor
905,would like inside Set level in the balcony we thirty can,SetLightBrightness
906,studio like the brightness of the lights to be level for,SetLightBrightness
907,would let the garage flat on fifty,SetLightBrightness
908,would like the lights to be turned on,SwitchLightOn
909,would like the lights less bright,DecreaseBrightness
910,activate the lights,SwitchLightOn
911,bring darkness to this room by turning off the lights,SwitchLightOff
912,would like the lights to change to green,SetLightColor
913,would like the lights turned off,SwitchLightOff
914,child's let the down flat on,SwitchLightOn
915,would like the vestibule will to be be,SetLightColor
916,would like the waiting room lights turned up,IncreaseBrightness
917,would prefer that the changing room lights be lowered,DecreaseBrightness
918,i'd light these lights on,SwitchLightOn
919,would like your let off,SwitchLightOff
920,i'd light for my lights to be flipped on now,SwitchLightOn
921,will be Make for the Make to be blue,SetLightColor
922,bring the cellar lights up to two,SetLightBrightness
923,i'd like for the lights to go on now,SwitchLightOn
924,i'd like it little do,DecreaseBrightness
925,like more lighting in the bedroom,IncreaseBrightness
926,i'd like the bedroom lights to be at ten percent percent,SetLightBrightness
927,red like the brightness changed in the made,SwitchLightOff
928,you like the brightness Set to twenty,SetLightBrightness
929,like the brightness turned down,DecreaseBrightness
930,i'd like to darkness are no,IncreaseBrightness
931,rid light the brightness turned up in the garage,IncreaseBrightness
932,i'd like the lights to be set to twelve,SetLightBrightness
933,can the changing room lights be turned on,SwitchLightOn
934,i'd like the kitchen to be brighter,IncreaseBrightness
935,like light to increase in the pantry,IncreaseBrightness
936,like the lit on the intense to be on,SwitchLightOn
937,i'd like the lights in the laundry room to be at level twenty two,SetLightBrightness
938,like the light should in the vestibule,SwitchLightOff
939,i'd like the lights to be shut off,SwitchLightOff
940,like the five to be shut down,SwitchLightOff
941,like the if to be turned on,SwitchLightOn
942,can the laundry room have green lights,SetLightColor
943,has like the lights to change in the large meeting room,SwitchLightOff
944,i'd like the lights to not be so bright,DecreaseBrightness
945,i'd like the lights turn down in the kids room,DecreaseBrightness
946,i'd like the living room lights to be at twelve percent percent,SetLightBrightness
947,would like the parking tad turned,SetLightColor
948,i'd like the vestibule lighting to be at thirty nine,SetLightBrightness
949,i'd like to activate lights in my cubicle,SwitchLightOn
950,like to have pink lighting in the bathroom,SetLightColor
951,would like to lights to be green please,SetLightColor
952,i'd like to lower the lights in the bedroom,DecreaseBrightness
953,can the lights be area instead.,SetLightColor
954,i'd prefer prefer the lights were on now,SwitchLightOn
955,i'd prefer it to be brighter,IncreaseBrightness
956,i'd prefer the from light to be at thirty nine,SetLightBrightness
957,prefer the laundry of lights to be turned to green,SetLightColor
958,i'd prefer the lights to be on,SwitchLightOn
959,rid prefer the office lights to be on,SwitchLightOn
960,i'd prefer the toilet lighting to be at level cella,SetLightBrightness
961,i'd one with the lights in the dining room,SwitchLightOff
962,I'm in the basement please turn the lights on,SwitchLightOn
963,I'm in the kitchen and need some lights,SwitchLightOn
964,can the living room lights be turned off,SwitchLightOff
965,I'm in the kitchen can you give me some lights please,SwitchLightOn
966,illuminate the entrance,SwitchLightOn
967,in the basement turned the brightness to twenty,SetLightBrightness
968,in the bathroom turn up the light power,IncreaseBrightness
969,in the changing room turned down the light power,DecreaseBrightness
970,can the cubicle and switch off the lights,SwitchLightOff
971,in the entrance changed the cellar to red,SetLightColor
972,in the entrance make the lights pink,SetLightColor
973,in the garage changed the lights to pink,SetLightColor
974,in the it's bedroom make the flat pink,SetLightColor
975,and were changed the house lighting to twelve,SetLightBrightness
976,in the kids bedroom turned the lights off,SwitchLightOff
977,in the laundry room turned down the light power,DecreaseBrightness
978,in the living room make the lights green,SetLightColor
979,in the lounge change it to level two,SetLightBrightness
980,in the lounge turned the lights off,SwitchLightOff
981,in the pantry turned down the brightness,DecreaseBrightness
982,in the pantry turn up the brightness,IncreaseBrightness
983,in the small meeting room the lights must be pink,SetLightColor
984,and the cellar set the brightness of the light cold to twelve,SetLightBrightness
985,increased brightness please,IncreaseBrightness
986,can we change Will lights to anything but pink,SetLightColor
987,increase brightness to fifty,SetLightBrightness
988,increase brightness to seventy-three tree,SetLightBrightness
989,bring rid brighness,IncreaseBrightness
990,increase light intensity,IncreaseBrightness
991,increase lighting in entire appartment,IncreaseBrightness
992,increase lighter in small meeting room,IncreaseBrightness
993,increase lights in entire house,IncreaseBrightness
994,increase the brighness in the changing room,IncreaseBrightness
995,increased the brightness of the basement,IncreaseBrightness
996,increased the brightness of the kitchen lights,IncreaseBrightness
997,can we make the whole house at twenty two,SetLightBrightness
998,increase the brighness of the flat in the cellar,IncreaseBrightness
999,increase the brightness of the flat in the dining room,IncreaseBrightness
1000,increase the brightness of the light in the entrance,IncreaseBrightness
1001,increase the brightness of the lights,IncreaseBrightness
1002,increase the brightness of this room,IncreaseBrightness
1003,increase the brightness to seventy-three tree,SetLightBrightness
1004,increase the brightness to ten,SetLightBrightness
1005,Place the cubicle's light intensity,IncreaseBrightness
1006,increased the intensity of the lighting,IncreaseBrightness
1007,is the intensity of the living sleep,IncreaseBrightness
1008,green light in the shed,SetLightColor
1009,increased the intensity of the flat,IncreaseBrightness
1010,red in changing room,IncreaseBrightness
1011,increase the light intensity,IncreaseBrightness
1012,increase the light intensity in the vestibule,IncreaseBrightness
1013,increase the lighting,IncreaseBrightness
1014,increased lighting in the cubicle,IncreaseBrightness
1015,intense the lighting in the vestibule,IncreaseBrightness
1016,increase the lighting intensity,IncreaseBrightness
1017,increase the lighting intensity please,IncreaseBrightness
1018,increase the lights in the bedroom,IncreaseBrightness
1019,activate that Let's light,SwitchLightOn
1020,can you change the bathroom light blue,SetLightColor
1021,increase the flat in the garden,IncreaseBrightness
1022,increase the flat in the toilet,IncreaseBrightness
1023,in increase lights on the patio,IncreaseBrightness
1024,increase the flat sleep,IncreaseBrightness
1025,increase the lights it is too dark,IncreaseBrightness
1026,is it possible to turn down the brightness,DecreaseBrightness
1027,is it the for you to decrease the brightness of the lights,DecreaseBrightness
1028,is it possible for you to turn the lights up in the cellar for us,IncreaseBrightness
1029,is it possible to get the lounge brightness to five,SetLightBrightness
1030,is it possible to stand down the brighness in the kitchen,DecreaseBrightness
1031,can you change the color of the lights to area in the lounge getting room,SetLightColor
1032,is it possible to turn on studio light,SwitchLightOn
1033,is it possible to turn the lights on,SwitchLightOn
1034,is it possible to turn the lights down in this room,DecreaseBrightness
1035,is there way to turn the kitchen lights to red,SetLightColor
1036,is there any you can change the light two be blue,SetLightColor
1037,it is too dark on the patio increase the lights,IncreaseBrightness
1038,it is two dark more lights,IncreaseBrightness
1039,it's to bright in here,DecreaseBrightness
1040,it's too bright bring the lights down,DecreaseBrightness
1041,too bright please make it darker,DecreaseBrightness
1042,the you change its in to,SetLightColor
1043,it's too dark in here,IncreaseBrightness
1044,it's too dark in here brightened the lights bit,IncreaseBrightness
1045,too dark in the bedroom,IncreaseBrightness
1046,too dark in the waiting room,IncreaseBrightness
1047,as way Throughout darken here,IncreaseBrightness
1048,Will the bathroom,SwitchLightOff
1049,Will the lights in the bedroom,SwitchLightOff
1050,Will the like in the entire appartment,SwitchLightOff
1051,let can brightness for me,DecreaseBrightness
1052,vestibule the brightness of the lights in the bedroom,DecreaseBrightness
1053,can you change the light in the garden to pink,SetLightColor
1054,let there be light,SwitchLightOn
1055,flat the garage meeting ten enter,SetLightBrightness
1056,let's have studio lights,SetLightColor
1057,let's have the entrance be area,SetLightColor
1058,let all the intensity of the lights,DecreaseBrightness
1059,let make the vestibule area,SetLightColor
1060,let's get the patio if to blue,SetLightColor
1061,let's lower the light please,DecreaseBrightness
1062,let's make the entrance rid,SetLightColor
1063,let's make the light pink,SetLightColor
1064,and you change the lighting into bathroom,SwitchLightOff
1065,it's turn off the like in the office,SwitchLightOff
1066,light up the vestibule,SwitchLightOn
1067,waiting needs to be adjusted to level do in the cubicle,SetLightBrightness
1068,lights in the backyard should be red,SetLightColor
1069,light in the kids bedroom must be on please,SwitchLightOn
1070,enter please,IncreaseBrightness
1071,lights off in the living room,SwitchLightOff
1072,lights Help please,SwitchLightOff
1073,like off,SwitchLightOff
1074,lights on in the kids bedroom please,SwitchLightOn
1075,can you change the lighting intensity of the laundry room to twenty two,SetLightBrightness
1076,lights on now,SwitchLightOn
1077,flat out,SwitchLightOff
1078,lights out please,SwitchLightOff
1079,lights out please,SwitchLightOff
1080,lower all of the lighting,DecreaseBrightness
1081,lower brightness,DecreaseBrightness
1082,lower brightness in the backyard,DecreaseBrightness
1083,lower brightness in the toilet room,DecreaseBrightness
1084,lower light brightness,DecreaseBrightness
1085,lower lighting in the backyard yard,DecreaseBrightness
1086,can you change the lights to fifty on the patio,SetLightBrightness
1087,lower the brightness,DecreaseBrightness
1088,lower the brightness in the cubicle,DecreaseBrightness
1089,here the brightness in the light's room,DecreaseBrightness
1090,lower the brightness in the garden,DecreaseBrightness
1091,lower the intensity of the lights,DecreaseBrightness
1092,lower the lighting and the garage,DecreaseBrightness
1093,lower it lights,DecreaseBrightness
1094,no here lights in my bedroom please,DecreaseBrightness
1095,over the light in the changing room,DecreaseBrightness
1096,the brightness should be ten in bathroom,SetLightBrightness
1097,could you set the that room brightness level to thirty nine,SetLightBrightness
1098,the bulbs should not be so bright,DecreaseBrightness
1099,the cellar light should be turned on,SwitchLightOn
1100,the cellar needs to be brighter,IncreaseBrightness
1101,the cellar of the light should be pink in the toilet room,SetLightColor
1102,the cubicle lights all be pink,SetLightColor
1103,that dining room less too tad,DecreaseBrightness
1104,the garage flat me to be brighter,IncreaseBrightness
1105,the want should have its light one off now,SwitchLightOff
1106,the house room light needs to be changed to red,SetLightColor
1107,the kitchen light should be pink,SetLightColor
1108,at just the bedroom lights the ten percent percent,SetLightBrightness
1109,can you set the room light to seventy-three,SetLightBrightness
1110,the kitchen should be brighter please,IncreaseBrightness
1111,the large meeting room is too dark and must be made brighter,IncreaseBrightness
